ErrorCode;ErrorMessage;ErrorType;CreateCase;CircuitBreaker;HTTPStatusCode
BDOC000001;Request not valid. Error during the validation of the worktag in Workday;Business;false;false;400
BDOC000002;Error raised by Swissbilling during the processing of the BillingDoc;Business;false;false;400
BDOC000003;Authentication Error in Workday.;System;false;false;400
BDOC000004;Error invoking the validation of the worktag in Workday.;System;false;true;400
BDOC000005;Authentication Error in SwissBilling;System;false;false;400
BDOC000006;Technical Error invoking Swissbilling;System;false;true;400
BDOC000007;Validation Error invoking Swissbilling;Business;false;false;400
BDOC000008;The size of the document attached is greater than 1 MB, please store the files into SFTP Server and send the reference in the BillingDoc.;Business;false;false;400
BDOC000009;Validation Error preparing the request to Swissbilling.;Business;false;false;400
BDOC000010;Validation Error preparing the request to Workday;Business;false;false;400
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
